"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"14383","41182","2021",10,10,0,144345,1320.9,116.4
"14384","41184","2021",10,10,0,168915.8,1673,106.9
"14385","41185","2021",39,39,0,150991.3,1295.744,113.4359
"14386","41186","2021",4,4,0,175250,885.5,171.5
"14387","41187","2021",5,5,0,170200,1639.4,116.8
"14388","41188","2021",2,2,0,123000,1253.5,105
"14389","41189","2021",5,5,0,118130,1118.4,97.8
"14390","41190","2021",4,4,0,126237.5,1573.75,78.5
"14391","41191","2021",2,2,0,132675,1380.5,95
"14392","41192","2021",7,7,0,98214.29,1297.714,74.71429
"14393","41193","2021",1,1,0,18000,333,54
"14394","41194","2021",310,282,28,133943.5,1401.158,94.78065
"14395","41195","2021",2,2,0,214361,1232,171
"14396","41196","2021",3,3,0,64833.33,978.3333,69.66667
"14397","41198","2021",58,52,6,110846.6,1198.586,89.67241
"14398","41199","2021",18,17,1,166450,2021.833,113.6667
"14399","41200","2021",9,9,0,212713.3,1710.111,125.7778
"14400","41201","2021",3,3,0,85666.67,1307.667,57.66667
"14401","41203","2021",7,7,0,187957.1,1563.571,119.5714
"14402","41204","2021",11,11,0,201476.4,1641.182,127.1818
"14403","41205","2021",2,2,0,82500,1023.5,84
"14404","41206","2021",12,12,0,270145,2079.583,125.3333
"14405","41207","2021",11,11,0,168909.1,1682.364,100
"14406","41208","2021",2,2,0,180000,1357.5,135.5
"14407","41209","2021",14,14,0,143549.3,1403.5,107.7857
"14408","41211","2021",52,51,1,191686,1767.192,105.7692
"14409","41212","2021",50,50,0,193432.2,2045.92,97.3
"14410","41213","2021",3,3,0,126666.7,1244,135.6667
"14411","41214","2021",7,7,0,95442.86,1242.571,77
"14412","41215","2021",4,4,0,99137.5,948.75,109.5
"14413","41216","2021",14,14,0,92705.71,1013.857,97.71429
"14414","41217","2021",20,20,0,152665.5,1628.25,94.5
"14415","41218","2021",6,6,0,107333.3,1204.167,96
"14416","41219","2021",6,6,0,126753.3,1508.167,92.16667
"14417","41220","2021",74,73,1,143444.4,1675.73,92.24324
"14418","41221","2021",8,8,0,76875,894.625,83.5
"14419","41222","2021",3,3,0,1e+05,1505.667,65.33333
"14420","41223","2021",19,19,0,201211.1,1649.105,117.5263
"14421","41224","2021",9,9,0,82116.67,894.8889,87.44444
"14422","41225","2021",8,8,0,131512.5,1248.125,108.25
"14423","41226","2021",44,43,1,171772,1607.068,109.4318
"14424","41228","2021",8,8,0,87485.88,975.5,89.125
"14425","41229","2021",26,26,0,153536.9,1501.769,110.1538
"14426","41230","2021",29,26,3,178658.1,1823.552,102.0345
"14427","41231","2021",14,14,0,191692.9,2732.786,92.92857
"14428","41232","2021",93,86,7,113420.5,1173.226,90.46237
"14429","41233","2021",14,14,0,154887.6,1233.429,121.5
"14430","41234","2021",3,3,0,144666.7,1264.333,120
"14431","41235","2021",23,23,0,134243.5,1228.174,113.087
"14432","41236","2021",3,3,0,170466.7,1488.333,116.3333
"14433","41237","2021",17,17,0,159718.6,1610.118,100.8235
"14434","41238","2021",45,44,1,97002.58,1081.511,94.28889
"14435","41239","2021",24,24,0,120708.8,1182.708,97.91667
"14436","41241","2021",27,27,0,135470.4,1303.037,104.1481
"14437","41242","2021",77,74,3,96865.4,1115.364,88.11688
"14438","41243","2021",14,14,0,111631.4,1143.714,97
"14439","41245","2021",7,7,0,157385.7,1392,116.4286
"14440","41246","2021",9,9,0,282644.4,2479.778,113.2222
"14441","41247","2021",20,20,0,143955.5,1667.45,93.3
"14442","41248","2021",35,35,0,100528.6,1091.971,94.45714
"14443","41249","2021",27,27,0,143916.7,1426.963,92.96296
"14444","41250","2021",9,9,0,112666.7,1077.111,101.4444
"14445","41251","2021",7,6,1,157485.7,1578.143,102.8571
"14446","41252","2021",27,27,0,151815.8,1689.37,92.74074
"14447","41253","2021",3,3,0,108500,1275.333,107.6667
"14448","41254","2021",2,2,0,68000,922,72.5
"14449","41255","2021",9,9,0,123763.1,1188.556,102
"14450","41256","2021",19,18,1,125395.8,1080.684,115.5789
"14451","41258","2021",14,13,1,145107.1,1501.929,99.35714
"14452","41259","2021",10,10,0,131350,1215.7,108.1
"14453","41260","2021",9,9,0,114144.4,1404.111,78.77778
"14454","41261","2021",4,4,0,129750,1476.25,90.75
"14455","41262","2021",12,12,0,251083.3,2129.583,112.6667
"14456","41265","2021",13,13,0,132838.5,1513.769,94.53846
"14457","41266","2021",1,1,0,77000,786,98
"14458","41267","2021",14,14,0,163696.4,1556.714,114.2857
"14459","41268","2021",2,2,0,208215,1421,174.5
"14460","41269","2021",267,164,103,145482.1,1675.288,83.72285
"14461","41271","2021",7,7,0,109677.1,1301.143,84.14286
"14462","41273","2021",16,16,0,106012.5,1309.25,84.5625
"14463","41274","2021",2,2,0,72500,917,75
"14464","41275","2021",17,16,1,109264.7,1265.882,91.94118
"14465","41276","2021",40,28,12,145429.5,1575.75,95.025
"14466","41278","2021",5,5,0,116700,1118.6,101.2
"14467","41279","2021",10,10,0,137140.4,1375.6,107.7
"14468","41280","2021",53,53,0,109710.3,1137.547,88.67925
"14469","41281","2021",7,7,0,154957.4,1783,86.14286
"14470","41282","2021",3,3,0,206866.7,1770.667,108.6667
"14471","41283","2021",4,4,0,128025,858.75,139.75
"14472","41284","2021",2,2,0,107500,1444.5,74.5
"14473","41285","2021",12,12,0,209112.4,1906.75,102.8333
"14474","41286","2021",1,1,0,160000,1290,124
"14475","41287","2021",10,10,0,146135,1425.3,108.8
"14476","41288","2021",3,3,0,124000,1580.667,78.33333
"14477","41289","2021",4,4,0,99000,853.5,120.5
"14478","41290","2021",4,4,0,111375,875,106
"14479","41291","2021",7,7,0,187373.7,1323,149.4286
"14480","41292","2021",3,3,0,150000,1387,105
"14481","41293","2021",1,1,0,211000,1055,200
"14482","41294","2021",17,17,0,151917,1677.647,88.82353
"14483","41295","2021",99,93,6,195082.3,1992.99,98.41414
"14484","41296","2021",20,19,1,208688.1,1891.05,110.4
"14485","41297","2021",14,14,0,169593.8,1939.857,96.21429
"14486","42001","2021",3,3,0,221466.7,1863.667,126.6667
"14487","42003","2021",35,35,0,148444.3,1443.486,103.8857
"14488","42005","2021",130,72,58,194537.9,2044.485,93.76923
"14489","42006","2021",6,6,0,194866.7,2158.833,106.5
"14490","42007","2021",4,4,0,177726.5,1294.75,138.5
"14491","42008","2021",1,1,0,121000,931,130
"14492","42009","2021",6,6,0,229306.7,1748.333,119.3333
"14493","42010","2021",11,9,2,189311.4,1919.091,96.09091
"14494","42011","2021",38,28,10,141636.4,1843.553,82.15789
"14495","42012","2021",5,5,0,201620,2156.4,90.2
"14496","42013","2021",25,25,0,166135.4,1856.92,91.28
"14497","42014","2021",3,3,0,86746.67,864.6667,101.3333
"14498","42015","2021",32,32,0,116947.2,1226.844,94.59375
"14499","42016","2021",6,6,0,174574.2,1519,123.5
"14500","42017","2021",5,5,0,173600,2373.8,80.6
"14501","42018","2021",2,2,0,277150,2666,103.5
"14502","42019","2021",48,40,8,126691.1,1358.938,97.5
"14503","42020","2021",17,16,1,239561.8,2316.471,111.4706
"14504","42021","2021",13,13,0,202245.6,2166.154,104.7692
"14505","42022","2021",55,49,6,214855.3,2122.382,100.5455
"14506","42023","2021",25,14,11,116000.6,1179.52,92.44
"14507","42026","2021",22,20,2,140460.5,1394.818,101.5
"14508","42027","2021",8,8,0,97918.75,1157.5,81.625
"14509","42028","2021",3,3,0,75666.67,915.3333,84
"14510","42029","2021",25,25,0,147714,1344.64,108.88
"14511","42030","2021",5,5,0,164210,1327.2,117.2
"14512","42031","2021",5,5,0,283700,2338.2,112.4
"14513","42032","2021",18,17,1,276011.7,2548.556,104
"14514","42033","2021",7,7,0,147914.3,1342.571,118.4286
"14515","42034","2021",2,2,0,148100,832,171.5
"14516","42035","2021",1,1,0,97000,1212,80
"14517","42036","2021",6,6,0,287900,2927.333,97.16667
"14518","42037","2021",2,2,0,194750,1320.5,131.5
"14519","42038","2021",4,4,0,323900,3019.75,104.25
"14520","42039","2021",18,18,0,122861.1,1309.667,98.55556
"14521","42040","2021",1,1,0,52000,1733,30
"14522","42041","2021",4,4,0,218337.5,2262.75,100
"14523","42042","2021",9,9,0,283070.8,2601.111,107.5556
"14524","42043","2021",16,16,0,294883.1,2515.875,117.0625
"14525","42044","2021",126,67,59,130632.6,1510.77,87.70635
"14526","42045","2021",2,2,0,75250,920,85
"14527","42046","2021",25,22,3,170273.2,1761.72,98.88
"14528","42047","2021",9,8,1,113277.8,1100.556,100.2222
"14529","42048","2021",16,16,0,161305.9,1638.688,109.125
"14530","42049","2021",15,14,1,120030.3,1169.733,103.1333
"14531","42050","2021",3,3,0,194500,2457,87.66667
"14532","42051","2021",5,5,0,299620,2313.6,139.8
"14533","42052","2021",69,31,38,125797,1392.522,93.78261
"14534","42053","2021",19,18,1,272481.1,2757.368,99.68421
"14535","42054","2021",1,1,0,96000,857,112
"14536","42055","2021",1,1,0,333000,1914,174
"14537","42056","2021",40,38,2,192887.6,2170.775,90.075
"14538","42058","2021",5,5,0,99180,1032.4,97.4
"14539","42059","2021",66,54,12,189461.9,2019.242,94.27273
"14540","42060","2021",14,14,0,182473.9,1969.786,97.28571
"14541","42061","2021",6,6,0,175933.3,1725,104.8333
"14542","42062","2021",10,9,1,160337,1867.3,90.8
"14543","42063","2021",9,9,0,91988.89,1262.556,73
"14544","42064","2021",5,5,0,197400,2158.6,91
"14545","42065","2021",17,17,0,225052.9,1994.882,114.7647
"14546","42066","2021",6,6,0,249566.7,1998.667,122.8333
"14547","42067","2021",2,2,0,111500,1215,87.5
"14548","42068","2021",5,5,0,223200,1974,122.4
"14549","42069","2021",34,34,0,204927.9,1848.971,115.9706
"14550","42070","2021",17,17,0,183388.8,1690.941,107.6471
"14551","42071","2021",146,53,93,115315.1,1373.116,80.33562
"14552","42072","2021",1,1,0,160000,1905,84
"14553","42073","2021",14,14,0,160400.7,1411.5,133
"14554","42074","2021",15,14,1,152441.3,1538.667,105.2
"14555","42075","2021",11,11,0,250577.3,2137.818,117.0909
"14556","42076","2021",9,9,0,146800,1313.667,109.6667
"14557","42077","2021",4,4,0,143158.8,904,149
"14558","42078","2021",6,6,0,57901.67,772.3333,78.5
"14559","42079","2021",20,20,0,125000.1,1220.3,107.5
"14560","42081","2021",20,19,1,241447.2,2381.95,111.95
"14561","42083","2021",4,4,0,323675,2644.75,116.75
"14562","42084","2021",1,1,0,85000,1417,60
"14563","42085","2021",11,9,2,204945.5,2284.091,90.81818
"14564","42086","2021",9,9,0,143295.6,1327.667,114.6667
"14565","42087","2021",13,13,0,276126.6,2192.231,124.2308
"14566","42088","2021",12,12,0,196641.7,1895.583,102.5833
"14567","42089","2021",3,3,0,83666.67,2007,78.66667
"14568","42090","2021",8,7,1,174162.5,1784.875,94.75
"14569","42091","2021",12,12,0,158983.3,1608.417,115.8333
"14570","42092","2021",42,17,25,262528,2794.286,93.16667
"14571","42093","2021",14,14,0,248939.3,2553.286,96.64286
"14572","42094","2021",124,74,50,158062.2,1792.048,88.75806
"14573","42095","2021",188,53,135,113578.9,1344.665,83.55851
"14574","42096","2021",3,3,0,289866.7,2617.667,109.6667
"14575","42097","2021",74,50,24,248810.9,2279.865,105.7162
"14576","42098","2021",11,11,0,133460,1555.727,87
"14577","42099","2021",61,36,25,147861.1,1595.902,93.36066
"14578","42100","2021",1,1,0,316010,2273,139
"14579","42101","2021",1,1,0,268600,1852,145
"14580","42102","2021",7,7,0,173235.7,1492.143,107.2857
"14581","42103","2021",43,28,15,211496.3,2208.814,94.88372
"14582","42104","2021",13,13,0,135289.2,1245.154,112.1538
"14583","42105","2021",3,3,0,278132.7,1496,174
"14584","42106","2021",5,5,0,68000,803.4,94.2
"14585","42107","2021",8,8,0,145908,1525.625,99.875
"14586","42108","2021",11,11,0,245310.9,2602,94.63636
"14587","42109","2021",6,5,1,82916.67,846.6667,109.1667
"14588","42110","2021",63,42,21,224376.2,2254.127,92.30159
"14589","42112","2021",7,7,0,114270.3,1086.286,107.8571
"14590","42113","2021",7,7,0,205702.9,2070,97.42857
"14591","42115","2021",14,10,4,157196.4,1681.643,92.35714
"14592","42116","2021",2,2,0,82000,925.5,86.5
"14593","42117","2021",1,1,0,230000,2447,94
"14594","42118","2021",7,7,0,108607.1,1072.571,99.57143
"14595","42119","2021",4,4,0,95000,1289.25,78.5
"14596","42120","2021",27,27,0,186108.9,1794.37,103.5556
"14597","42121","2021",3,3,0,130866.7,1551.333,91
"14598","42122","2021",23,23,0,262112.4,2135.826,120.5217
"14599","42123","2021",63,33,30,206958,2298.667,89.73016
"14600","42124","2021",6,6,0,319360.2,2040.167,169.3333
"14601","42125","2021",1,1,0,164800,1011,163
"14602","42126","2021",31,30,1,157112.4,1771.839,89.54839
"14603","42127","2021",82,75,7,170377.5,1753.268,96.31707
"14604","42128","2021",5,5,0,251820,1919.8,144.8
"14605","42129","2021",17,17,0,208279.4,2201.412,101.2353
"14606","42130","2021",7,7,0,192321.4,1792.714,108.1429
"14607","42131","2021",4,4,0,179200,1830.25,97
"14608","42132","2021",9,9,0,221222.2,2097.667,105.1111
"14609","42133","2021",8,8,0,217331.2,1995.75,108.375
"14610","42134","2021",11,11,0,171510.9,1689.182,103.8182
"14611","42135","2021",2,2,0,210500,988,207
"14612","42136","2021",16,16,0,198320.6,1683.25,111.625
"14613","42137","2021",16,15,1,208325,2032.125,106.8125
"14614","42138","2021",4,4,0,159725.5,1463,109.25
"14615","42139","2021",12,12,0,180709.2,2018.083,93.83333
"14616","42140","2021",6,6,0,169533.2,1436.333,103.3333
"14617","42141","2021",6,6,0,132506.7,1111,101.6667
"14618","42142","2021",6,6,0,164346.7,1177,149.6667
"14619","42143","2021",8,8,0,172475,2055,92.5
"14620","42145","2021",10,10,0,137880,1303.6,107.6
"14621","42146","2021",2,2,0,145050,1829.5,77
"14622","42147","2021",231,120,111,166636.4,1949.104,85.85714
"14623","42148","2021",7,7,0,111285.7,1287.571,86.28571
"14624","42149","2021",105,65,40,198824.3,2230.21,90.67619
"14625","42150","2021",11,11,0,189095.5,1838.818,103.8182
"14626","42151","2021",8,8,0,259025,1796.625,139.625
"14627","42152","2021",2,2,0,248500,1895.5,131.5
"14628","42153","2021",12,11,1,162545.8,1188.083,134.5
"14629","42154","2021",10,10,0,101090,1116.4,97.6
"14630","42155","2021",13,13,0,180515.1,1667,108.7692
"14631","42156","2021",16,16,0,145968.8,1444.875,101
"14632","42157","2021",8,8,0,103225,1219.625,87.375
"14633","42158","2021",6,6,0,156218.3,1196.167,122.8333
"14634","42159","2021",18,17,1,95625,975.6667,96.11111
"14635","42160","2021",3,3,0,92000,1111,84
"14636","42161","2021",2,2,0,394000,2214.5,162
"14637","42162","2021",16,16,0,202174.1,1581.062,132.9375
"14638","42163","2021",19,19,0,116774.7,1077.053,106.2632
"14639","42164","2021",1,1,0,129000,1032,125
"14640","42165","2021",67,58,9,149516.6,1593.672,99.9403
"14641","42166","2021",5,5,0,223780,2089.4,106.4
"14642","42167","2021",5,5,0,169286,2225.6,88.4
"14643","42168","2021",64,54,10,198686.7,1943.438,104.0781
"14644","42169","2021",27,27,0,182003.7,2007.63,87.7037
"14645","42170","2021",16,16,0,154766.6,1361.625,108.75
"14646","42171","2021",1,1,0,80000,1333,60
"14647","42172","2021",15,14,1,243273.3,2108.333,123.7333
"14648","42173","2021",9,9,0,160280.6,1757.444,95.44444
"14649","42174","2021",23,23,0,204602.2,2064.478,98.21739
"14650","42175","2021",19,19,0,153492.1,1485.105,99.57895
"14651","42176","2021",25,25,0,192822.4,1864.84,102.2
"14652","42177","2021",42,39,3,155564.9,1592.762,101.6905
"14653","42178","2021",11,11,0,161172.7,1531.818,103.3636
"14654","42179","2021",5,5,0,227480,2018,107.6
"14655","42180","2021",6,6,0,213156.7,1991.667,109
"14656","42181","2021",24,19,5,108148.3,1206.667,93.83333
"14657","42182","2021",49,45,4,200171.8,1917.98,105.4898
"14658","42183","2021",65,35,30,134736.7,1345.815,94.04615
"14659","42184","2021",232,137,95,150528.4,1682.582,86.76724
"14660","42185","2021",9,8,1,262072.2,2184.889,118
"14661","42186","2021",172,97,75,173199.1,1918.727,88.15116
"14662","42187","2021",806,184,622,99600.87,1344.705,74.71588
"14663","42188","2021",2,2,0,107500,865,120
"14664","42189","2021",104,55,49,161220.7,1885.125,84.77885
"14665","42191","2021",17,15,2,187500,2186.412,87
"14666","42192","2021",15,15,0,102558.9,1115,91
"14667","42193","2021",19,18,1,156269.5,1482.421,109.1053
"14668","42194","2021",4,4,0,116312.5,1330.5,94.25
"14669","42195","2021",21,19,2,98528.57,969.4762,103.381
"14670","42196","2021",5,5,0,89453.2,1078.2,84.2
"14671","42197","2021",20,18,2,181890,1548.9,118.4
"14672","42198","2021",16,16,0,186899.4,1679.812,114.625
"14673","42199","2021",22,20,2,194189.1,1897.773,110
"14674","42200","2021",22,22,0,191724,2149.818,89.59091
"14675","42201","2021",5,5,0,156908,1858.8,89.4
"14676","42202","2021",8,7,1,204150,2094.625,100.5
"14677","42203","2021",4,4,0,86412.5,799.25,106
"14678","42204","2021",26,12,14,96524.38,1209.231,80.57692
"14679","42205","2021",8,8,0,76037.5,980.5,81.375
"14680","42206","2021",24,23,1,322753.9,2637.792,123.5833
"14681","42207","2021",465,186,279,144107.6,1683.254,85.45376
"14682","42208","2021",18,15,3,195855.6,2118.5,94.11111
"14683","42209","2021",5,5,0,141000,1604.2,87.6
